		IEDB metadata						LC-MS/MS information								
Original raw file name	Re-annotated raw file name (username_date_PI_Country_cell/sample type_injectionID)	Organism	In Vivo or In vitro Process	Tissue type	Cell type	Culture conditions	MHC Allele	"isolation method (IP, MAE, secreted, other)"	"sample amount (cell number, weight of tissue)"	fraction of sample measured	mass spectrometer	LC system	iRT peptides 	Acquisition mode	Gradient 	Gradient lenght (min)
PBMC#1_Tubingen_120724_CB_Buffy18_W_20_Rep1_msms1_c.mzXML	Kowalewskid_160207_Rammensee_Germany_PBMC_Buffy18_001	Human	In vivo	Blood	PBMC	-	"A03,A24,B07,B51"	IP	-	25%	LTQ Orbitrap XL	Ultimate3000 RSLCnano	no	DDA	2-32% ACN	120
PBMC#1_Tubingen_120724_CB_Buffy18_W_20_Rep2_msms2_c.mzXML	Kowalewskid_160207_Rammensee_Germany_PBMC_Buffy18_002	Human	In vivo	Blood	PBMC	-	"A03,A24,B07,B51"	IP	-	25%	LTQ Orbitrap XL	Ultimate3000 RSLCnano	no	DDA	2-32% ACN	120
PBMC#1_Tubingen_120724_CB_Buffy18_W_20_Rep3_msms3_c.mzXML	Kowalewskid_160207_Rammensee_Germany_PBMC_Buffy18_003	Human	In vivo	Blood	PBMC	-	"A03,A24,B07,B51"	IP	-	25%	LTQ Orbitrap XL	Ultimate3000 RSLCnano	no	DDA	2-32% ACN	120
PBMC#1_Tubingen_120724_CB_Buffy18_W_20_Rep4_msms4_c.mzXML	Kowalewskid_160207_Rammensee_Germany_PBMC_Buffy18_004	Human	In vivo	Blood	PBMC	-	"A03,A24,B07,B51"	IP	-	25%	LTQ Orbitrap XL	Ultimate3000 RSLCnano	no	DDA	2-32% ACN	120
PBMC#1_Tubingen_120724_CB_Buffy18_W_20_Rep5_msms5_c.mzXML	Kowalewskid_160207_Rammensee_Germany_PBMC_Buffy18_005	Human	In vivo	Blood	PBMC	-	"A03,A24,B07,B51"	IP	-	25%	LTQ Orbitrap XL	Ultimate3000 RSLCnano	no	DDA	2-32% ACN	120
PBMC#2_Tubingen_120720_CB_Buffy19_W_20_Rep1_msms1_c.mzXML	Kowalewskid_160207_Rammensee_Germany_PBMC_Buffy19_001	Human	In vivo	Blood	PBMC	-	"A02,A03,B35,B39"	IP	-	25%	LTQ Orbitrap XL	Ultimate3000 RSLCnano	no	DDA	2-32% ACN	120
PBMC#2_Tubingen_120720_CB_Buffy19_W_20_Rep2_msms2_c.mzXML	Kowalewskid_160207_Rammensee_Germany_PBMC_Buffy19_002	Human	In vivo	Blood	PBMC	-	"A02,A03,B35,B39"	IP	-	25%	LTQ Orbitrap XL	Ultimate3000 RSLCnano	no	DDA	2-32% ACN	120
PBMC#2_Tubingen_120720_CB_Buffy19_W_20_Rep3_msms3_c.mzXML	Kowalewskid_160207_Rammensee_Germany_PBMC_Buffy19_003	Human	In vivo	Blood	PBMC	-	"A02,A03,B35,B39"	IP	-	25%	LTQ Orbitrap XL	Ultimate3000 RSLCnano	no	DDA	2-32% ACN	120
PBMC#2_Tubingen_120720_CB_Buffy19_W_20_Rep4_msms4_c.mzXML	Kowalewskid_160207_Rammensee_Germany_PBMC_Buffy19_004	Human	In vivo	Blood	PBMC	-	"A02,A03,B35,B39"	IP	-	25%	LTQ Orbitrap XL	Ultimate3000 RSLCnano	no	DDA	2-32% ACN	120
PBMC#2_Tubingen_120720_CB_Buffy19_W_20_Rep5_msms5_c.mzXML	Kowalewskid_160207_Rammensee_Germany_PBMC_Buffy19_005	Human	In vivo	Blood	PBMC	-	"A02,A03,B35,B39"	IP	-	25%	LTQ Orbitrap XL	Ultimate3000 RSLCnano	no	DDA	2-32% ACN	120
PBMC#3_Tubingen_120712_CB_Buffy21_W_ReZipTipped_20_Rep_1_msms1_c.mzXML	Kowalewskid_160207_Rammensee_Germany_PBMC_Buffy21_001	Human	In vivo	Blood	PBMC	-	"A01,A32,B08,B39"	IP	-	25%	LTQ Orbitrap XL	Ultimate3000 RSLCnano	no	DDA	2-32% ACN	120
PBMC#3_Tubingen_120712_CB_Buffy21_W_ReZipTipped_20_Rep_2_msms3_c.mzXML	Kowalewskid_160207_Rammensee_Germany_PBMC_Buffy21_002	Human	In vivo	Blood	PBMC	-	"A01,A32,B08,B39"	IP	-	25%	LTQ Orbitrap XL	Ultimate3000 RSLCnano	no	DDA	2-32% ACN	120
PBMC#3_Tubingen_120712_CB_Buffy21_W_ReZipTipped_20_Rep_3_msms4_c.mzXML	Kowalewskid_160207_Rammensee_Germany_PBMC_Buffy21_003	Human	In vivo	Blood	PBMC	-	"A01,A32,B08,B39"	IP	-	25%	LTQ Orbitrap XL	Ultimate3000 RSLCnano	no	DDA	2-32% ACN	120
PBMC#3_Tubingen_120712_CB_Buffy21_W_ReZipTipped_20_Rep_4_msms5_c.mzXML	Kowalewskid_160207_Rammensee_Germany_PBMC_Buffy21_004	Human	In vivo	Blood	PBMC	-	"A01,A32,B08,B39"	IP	-	25%	LTQ Orbitrap XL	Ultimate3000 RSLCnano	no	DDA	2-32% ACN	120
PBMC#3_Tubingen_120713_CB_Buffy21_W_ReZipTipped_20_Rep_5_msms2_c.mzXML	Kowalewskid_160207_Rammensee_Germany_PBMC_Buffy21_005	Human	In vivo	Blood	PBMC	-	"A01,A32,B08,B39"	IP	-	25%	LTQ Orbitrap XL	Ultimate3000 RSLCnano	no	DDA	2-32% ACN	120
PBMC#4_Tubingen_120827_CB_Buffy29_W_20_Rep_1_msms1_c.mzXML	Kowalewskid_160207_Rammensee_Germany_PBMC_Buffy29_001	Human	In vivo	Blood	PBMC	-	"A03,A29,B44,B51"	IP	-	25%	LTQ Orbitrap XL	Ultimate3000 RSLCnano	no	DDA	2-32% ACN	120
PBMC#4_Tubingen_120827_CB_Buffy29_W_20_Rep_2_msms2_c.mzXML	Kowalewskid_160207_Rammensee_Germany_PBMC_Buffy29_002	Human	In vivo	Blood	PBMC	-	"A03,A29,B44,B51"	IP	-	25%	LTQ Orbitrap XL	Ultimate3000 RSLCnano	no	DDA	2-32% ACN	120
PBMC#4_Tubingen_120827_CB_Buffy29_W_20_Rep_3_msms3_c.mzXML	Kowalewskid_160207_Rammensee_Germany_PBMC_Buffy29_003	Human	In vivo	Blood	PBMC	-	"A03,A29,B44,B51"	IP	-	25%	LTQ Orbitrap XL	Ultimate3000 RSLCnano	no	DDA	2-32% ACN	120
PBMC#4_Tubingen_120827_CB_Buffy29_W_20_Rep_4_msms4_c.mzXML	Kowalewskid_160207_Rammensee_Germany_PBMC_Buffy29_004	Human	In vivo	Blood	PBMC	-	"A03,A29,B44,B51"	IP	-	25%	LTQ Orbitrap XL	Ultimate3000 RSLCnano	no	DDA	2-32% ACN	120
PBMC#4_Tubingen_120827_CB_Buffy29_W_20_Rep_5_msms5_c.mzXML	Kowalewskid_160207_Rammensee_Germany_PBMC_Buffy29_005	Human	In vivo	Blood	PBMC	-	"A03,A29,B44,B51"	IP	-	25%	LTQ Orbitrap XL	Ultimate3000 RSLCnano	no	DDA	2-32% ACN	120
PBMC#5_Tubingen_120830_CB_Buffy30_W_20_Rep_1_msms1_c.mzXML	Kowalewskid_160207_Rammensee_Germany_PBMC_Buffy30_001	Human	In vivo	Blood	PBMC	-	"A02,A03,B07,B39"	IP	-	25%	LTQ Orbitrap XL	Ultimate3000 RSLCnano	no	DDA	2-32% ACN	120
